Topic,Words,Frequency,Timestamp
52,"RACIAL, DISCRIMINAÇÃO RACIAL, DISCRIMINAÇÃO, NEGRO, CONSCIENTIZAÇÃO NEGRO",5,2008
53,"EMPRESA BRASILEIRA DE, BRASILEIRA DE INFRAESTRUTURA AEROPORTUARIA, EMPRESA BRASILEIRA DE INFRAESTRUTURA, AEROPORTUARIA INFRAERO, DE INFRAESTRUTURA AEROPORTUARIA",12,2008
-1,"PETROLEO, DO RIO, ESTADO DO RIO, BUSCA, EXPLORAÇÃO",2379,2009
0,"HOMENAGEM POSTUMA, POSTUMA, VIDA PUBLICA, ELOGIO VIDA PUBLICA, DE FUNDAÇÃO",260,2009
1,"TRIBUNAL FEDERAL, SUPREMO, SUPREMO TRIBUNAL FEDERAL STF, SUPREMO TRIBUNAL FEDERAL, SUPREMO TRIBUNAL",68,2009
3,"SÃO PAULO, DE SÃO PAULO, DE SÃO, SÃO PAULO SP, ESTADO DE SÃO",392,2009
4,"AMAZONAS, DO AMAZONAS, ESTADO DO AMAZONAS AM, AMAZONAS AM, DO AMAZONAS AM",230,2009
5,"DE SÃO PAULO SP, ESTADO DE SÃO, ESTADO DE SÃO PAULO, SÃO PAULO SP, DE SÃO PAULO",106,2009
6,"PENSIONISTA AUSENCIA, CARGO DE CARREIRA SENADO, CRITICA IDELI, CRITICA IDELI SALVATTI, AUMENTO PISO SALARIAL",12,2009
7,"PROPOSTA EMENDA CONSTITUCIONAL, CAMARA MUNICIPAL, REDUÇÃO GASTOS PUBLICOS CAMARA, PUBLICOS CAMARA, GASTOS PUBLICOS CAMARA MUNICIPAL",38,2009
8,"EDIÇÃO MEDIDA PROVISORIA, EDIÇÃO MEDIDA PROVISORIA MPV, MEDIDA PROVISORIA MPV DEFESA, PROVISORIA MPV DEFESA, PROPOSTA EMENDA CONSTITUCIONAL",20,2009
9,"DA EDUCAÇÃO, UNIVERSIDADE, DE EDUCAÇÃO, MINISTERIO DA EDUCAÇÃO MEC, DA EDUCAÇÃO MEC",32,2009
10,"PETROLEO BRASILEIRO, PETROLEO BRASILEIRO PETROBRAS, BRASILEIRO PETROBRAS, PETROLEO, INQUERITO CPI PETROLEO BRASILEIRO",39,2009
11,"CANCER, MEDICO, HOSPITAL, MEDICINA, SAUDE SUS",38,2009
12,"PI, DO PIAUI, PIAUI, DO PIAUI PI, PIAUI PI",153,2009
13,"FUTEBOL, CAMPEONATO, CAMPEONATO MUNDIAL, CAMPEONATO MUNDIAL FUTEBOL, MUNDIAL FUTEBOL",55,2009
14,"ACRE, DO ACRE, ACRE AC, DO ACRE AC, ESTADO DO ACRE",27,2009
15,"BENEFICIO APOSENTADO REPUDIO, CRITICA ADIAMENTO VOTAÇÃO CAMARA, CRITICA ADIAMENTO VOTAÇÃO, ADIAMENTO VOTAÇÃO CAMARA DOS, ADIAMENTO VOTAÇÃO CAMARA",1,2009
16,"RIO DE JANEIRO RJ, DE JANEIRO, RIO DE JANEIRO, ESTADO DO RIO DE, DO RIO DE",44,2009
17,"RURAL, PRODUTOR, PRODUTOR RURAL, AGRICULTURA, PROPRIEDADE RURAL",16,2009
18,"BRASILEIRA PSDB, SOCIAL DEMOCRACIA BRASILEIRA, DEMOCRACIA BRASILEIRA, DEMOCRACIA BRASILEIRA PSDB, DA SOCIAL DEMOCRACIA",51,2009
19,"CRIAÇÃO ESTATUTO EMPRESA PUBLICA, CRIAÇÃO ESTATUTO EMPRESA, ESTATUTO EMPRESA PUBLICA, ESTATUTO EMPRESA, AUTORIA JOSE SARNEY PRESIDENTE",3,2009
20,"STF, SUPREMO TRIBUNAL FEDERAL, SUPREMO TRIBUNAL FEDERAL STF, SUPREMO TRIBUNAL, FEDERAL STF",93,2009
21,"RIO GRANDE DO SUL, GRANDE DO SUL, GRANDE DO SUL RS, RIO GRANDE DO, RIO GRANDE",16,2009
22,"REFORMA POLITICA, PROPOSTA EMENDA CONSTITUCIONAL, DEFINIÇÃO POLITICA SETOR PUBLICO, DEFINIÇÃO POLITICA SETOR, DEFINIÇÃO POLITICA",42,2009
23,"CATARINA, SANTA CATARINA, DE SANTA CATARINA, DE SANTA, ESTADO DE SANTA CATARINA",30,2009
24,"CONTRIBUIÇÃO PROVISORIA SOBRE, CONTRIBUIÇÃO PROVISORIA SOBRE MOVIMENTAÇÃO, PROVISORIA SOBRE MOVIMENTAÇÃO, PROVISORIA SOBRE MOVIMENTAÇÃO FINANCEIRA, SOBRE MOVIMENTAÇÃO FINANCEIRA CPMF",11,2009
25,"BIODIVERSIDADE, MEIO AMBIENTE COMENTARIO, AMBIENTE COMENTARIO, PROTEÇÃO MEIO AMBIENTE SOLICITAÇÃO, DESENVOLVIMENTO SUSTENTAVEL",9,2009
26,"MT, DE MATO GROSSO, GROSSO MT, MATO GROSSO MT, DE MATO GROSSO MT",86,2009
27,"PLP, LEI COMPLEMENTAR PLP, COMPLEMENTAR PLP, DE LEI COMPLEMENTAR PLP, PROJETO DE LEI COMPLEMENTAR",6,2009
28,"RIO GRANDE DO SUL, GRANDE DO SUL RS, RIO GRANDE, DO RIO GRANDE, RIO GRANDE DO",86,2009
29,"FEDERAL DF, DISTRITO FEDERAL DF, BRASILIA DF, BRASILIA, GOVERNO DO DISTRITO FEDERAL",25,2009
30,"TRANSPORTES, DOS TRANSPORTES, ESTRUTURA DOS TRANSPORTES DNIT, NACIONAL DE INFRA ESTRUTURA, DOS TRANSPORTES DNIT",26,2009
31,"REFORMULAÇÃO SISTEMA ELEITORAL, REFORMULAÇÃO SISTEMA, SISTEMA ELEITORAL, IRREGULARIDADE, REPUTAÇÃO",11,2009
32,"MERCADO COMUM, MERCADO COMUM DO SUL, DO SUL MERCOSUL, MERCOSUL, COMUM DO SUL MERCOSUL",54,2009
33,"BANCO CENTRAL, BRASIL BACEN, DO BRASIL BACEN, CENTRAL DO BRASIL BACEN, BANCO CENTRAL DO BRASIL",8,2009
34,"BANCO, SISTEMA FINANCEIRO, FINANCEIRO, CREDITOS, ECONOMIA NACIONAL",85,2009
35,"PARANA, DO PARANA, ESTADO DO PARANA, ESTADO DO PARANA PR, DO PARANA PR",29,2009
36,"INSTALAÇÃO COMISSÃO PARLAMENTAR DE, INSTALAÇÃO COMISSÃO PARLAMENTAR, INSTALAÇÃO COMISSÃO, DIREITOS MINORIA, COMISSÃO DE INQUERITO",8,2009
38,"DA BAHIA, BAHIA, ESTADO DA BAHIA BA, DA BAHIA BA, BAHIA BA",12,2009
39,"TELECOMUNICAÇÕES, DE TELECOMUNICAÇÕES, DE CORREIOS TELEGRAFOS, CORREIOS TELEGRAFOS, BRASILEIRA DE CORREIOS TELEGRAFOS",27,2009
43,"CRIMINOSO HOMICIDIO OLAVO, AGILIZAÇÃO PROCESSO PENAL, ATRASO INVESTIGAÇÃO POLICIA FEDERAL, ATRASO INVESTIGAÇÃO POLICIA, CRIMINOSO HOMICIDIO OLAVO PIRES",2,2009
44,"PROFESSOR, MINISTERIO DA EDUCAÇÃO MEC, EDUCAÇÃO MEC, DA EDUCAÇÃO MEC, MINISTERIO DA EDUCAÇÃO",45,2009
45,"VETO, VETO VET, DERRUBADA VETO, REPUBLICA VETO VET, DA REPUBLICA VETO VET",5,2009
46,"MERCADORIAS SERVIÇOS ICMS, CIRCULAÇÃO DE MERCADORIAS SERVIÇOS, SERVIÇOS ICMS, SOBRE CIRCULAÇÃO DE MERCADORIAS, DE MERCADORIAS SERVIÇOS",3,2009
47,"DA UNIÃO TCU, CONTAS DA UNIÃO TCU, TRIBUNAL DE CONTAS DA, TCU, TRIBUNAL DE CONTAS",8,2009
49,"ESTADO DE RORAIMA RR, DE RORAIMA RR, ESTADO DE RORAIMA, RORAIMA RR, DE RORAIMA",11,2009
50,"GRANDE DO NORTE, RIO GRANDE DO NORTE, GRANDE DO NORTE RN, DO NORTE, DO RIO GRANDE DO",11,2009
51,"GEOGRAFIA, BRASILEIRO DE GEOGRAFIA ESTATISTICA, BRASILEIRO DE GEOGRAFIA, DE GEOGRAFIA, DE GEOGRAFIA ESTATISTICA",9,2009
52,"NEGRO, RACIAL, DISCRIMINAÇÃO RACIAL, DISCRIMINAÇÃO, NACIONAL CONSCIENTIZAÇÃO",7,2009
53,"INFRAESTRUTURA AEROPORTUARIA, AEROPORTUARIA, AEROPORTUARIA INFRAERO, BRASILEIRA DE INFRAESTRUTURA, BRASILEIRA DE INFRAESTRUTURA AEROPORTUARIA",15,2009
-1,"DO RIO, ESTADO DO RIO, PETROLEO, CANDIDATO, EXPLORAÇÃO",1412,2010
0,"HOMENAGEM POSTUMA, VIDA PUBLICA, ELOGIO VIDA PUBLICA, DE FUNDAÇÃO, FAMILIA HOMENAGEM",172,2010
1,"TRIBUNAL FEDERAL, SUPREMO, FEDERAL STF, SUPREMO TRIBUNAL FEDERAL STF, SUPREMO TRIBUNAL FEDERAL",21,2010
3,"CANDIDATO, SÃO PAULO, DE SÃO PAULO, DE SÃO, PAULO SP",322,2010
4,"AMAZONAS, DO AMAZONAS, DO AMAZONAS AM, AMAZONAS AM, ESTADO DO AMAZONAS AM",109,2010
5,"DE SÃO PAULO SP, ESTADO DE SÃO, ESTADO DE SÃO PAULO, SÃO PAULO SP, DE SÃO PAULO",42,2010
6,"LUIZ INACIO LULA DA, LULA DA SILVA, INACIO LULA, INACIO LULA DA, INACIO LULA DA SILVA",8,2010
7,"ASSEMBLEIA GERAL UNIÃO INTERPARLAMENTAR, ASSEMBLEIA GERAL UNIÃO, GERAL UNIÃO, REGISTRO PARTICIPAÇÃO, REELEIÇÃO",3,2010
